No.,Time,Source,Destination,Protocol,Length,Info,Target
247,7.675462,192.168.0.30,239.255.255.250,SSDP,380,NOTIFY * HTTP/1.1  ,1
248,7.675821,192.168.0.30,239.255.255.250,SSDP,310,NOTIFY * HTTP/1.1  ,1
249,7.676183,192.168.0.30,239.255.255.250,SSDP,319,NOTIFY * HTTP/1.1  ,1
250,7.676568,192.168.0.30,239.255.255.250,SSDP,374,NOTIFY * HTTP/1.1  ,1
251,7.67695,192.168.0.30,239.255.255.250,SSDP,384,NOTIFY * HTTP/1.1  ,1
252,7.689692,192.168.3.138,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
253,7.797042,192.168.0.43,192.168.0.255,NBNS,92,Name query NB WPAD<00>,2
254,7.857983,192.168.0.87,192.168.0.255,BROWSER,243,"Host Announcement DESKTOP-1469UTE, Workstation, Server, NT Workstation",2
255,7.868684,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.23? Tell 14.102.45.17,1
256,8.012835,192.168.0.24,239.255.255.250,SSDP,339,NOTIFY * HTTP/1.1 ,1
257,8.056467,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0x06f5 A CENTOS-8,2
258,8.06112,192.168.0.55,224.0.0.252,LLMNR,68,Standard query 0xb121 AAAA CENTOS-8,2
259,8.066601,192.168.0.75,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
260,8.098703,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.25? Tell 14.102.45.17,1
261,8.116995,192.168.0.24,239.255.255.250,SSDP,330,NOTIFY * HTTP/1.1 ,1
262,8.117729,192.168.4.184,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,1
263,8.138689,Routerbo_3f:8a:9d,Broadcast,ARP,60,Who has 14.102.45.28? Tell 14.102.45.17,1
